DeviceOrientation,AccelerationX,AccelerationY,AccelerationZ,Label
1594763749,portrait,-0.425506592,0.624694824,-0.630050659
1594763749,portrait,-0.424880981,0.626556396,-0.579483032
1594763749,portrait,-0.429794312,0.634567261,-0.610839844
1594763749,portrait,-0.430938721,0.653579712,-0.642944336
1594763749,portrait,-0.429077148,0.630432129,-0.622650146
1594763749,portrait,-0.430541992,0.628433228,-0.625183105
1594763749,portrait,-0.429519653,0.635498047,-0.619918823
1594763749,portrait,-0.443283081,0.648086548,-0.635391235
1594763749,portrait,-0.430099487,0.646011353,-0.62109375
1594763749,portrait,-0.424682617,0.645462036,-0.621261597
1594763749,portrait,-0.427749634,0.646713257,-0.619094849
1594763749,portrait,-0.429870605,0.642364502,-0.618026733
1594763749,portrait,-0.433853149,0.644592285,-0.628875732
1594763749,portrait,-0.434509277,0.649520874,-0.638671875
1594763749,portrait,-0.4296875,0.633377075,-0.617767334
1594763749,portrait,-0.457733154,0.624847412,-0.595825195
1594763749,portrait,-0.474182129,0.643264771,-0.558929443
1594763749,portrait,-0.469543457,0.635955811,-0.54208374
1594763749,portrait,-0.475097656,0.601730347,-0.49710083
1594763749,portrait,-0.494781494,0.613220215,-0.447662354
1594763749,portrait,-0.509552002,0.70098877,-0.568695068
1594763749,portrait,-0.495040894,0.674209595,-0.473770142
1594763749,portrait,-0.587600708,0.668899536,-0.326263428
1594763749,portrait,-0.643432617,0.711486816,-0.337081909
1594763749,portrait,-0.689804077,0.706054688,-0.263000488
1594763750,portrait,-0.753616333,0.756881714,-0.167510986
1594763750,portrait,-0.705703735,0.705932617,-0.155136108
1594763750,portrait,-0.738311768,0.733520508,-0.14894104
1594763750,portrait,-0.650878906,0.723083496,-0.078018188
1594763750,portrait,-0.670166016,0.676757813,-4.58E-05
1594763750,portrait,-0.730682373,0.607513428,0.067657471
1594763750,portrait,-0.793151855,0.635803223,0.060470581
1594763750,portrait,-0.78868103,0.62210083,-0.033340454
1594763750,portrait,-0.762802124,0.649368286,-0.012405396
1594763750,portrait,-0.838668823,0.657913208,0.034439087
1594763750,portrait,-0.886474609,0.64440918,0.062667847
1594763750,portrait,-0.873062134,0.671966553,0.013412476
1594763750,portrait,-0.826843262,0.651168823,0.006225586
1594763750,portrait,-0.827590942,0.670776367,-0.12487793
1594763750,portrait,-0.881729126,0.738815308,-0.138549805
1594763750,portrait,-0.925964355,0.75932312,-0.064437866
1594763750,portrait,-0.75239563,0.662460327,-0.080307007
1594763750,portrait,-0.699630737,0.596664429,-0.226455688
1594763750,portrait,-0.686080933,0.754806519,-0.297271729
1594763750,portrait,-0.620513916,0.826477051,-0.223831177
1594763750,portrait,-0.651733398,0.751266479,-0.104873657
1594763750,portrait,-0.705184937,0.663024902,-0.124832153
1594763750,portrait,-0.697906494,0.689575195,-0.110916138
1594763750,portrait,-0.64730835,0.650985718,-0.086669922
1594763750,portrait,-0.623519897,0.637786865,-0.046035767
1594763751,portrait,-0.595535278,0.688964844,0.02204895
1594763751,portrait,-0.578994751,0.69821167,0.038269043
1594763751,portrait,-0.572280884,0.712341309,0.065124512
1594763751,portrait,-0.570922852,0.749404907,0.058624268
1594763751,portrait,-0.605758667,0.749221802,0.013595581
1594763751,portrait,-0.762481689,0.874862671,0.020080566
1594763751,portrait,-0.810409546,0.873825073,-0.058807373
1594763751,portrait,-0.766235352,0.717498779,-0.112411499
1594763751,portrait,-0.779937744,0.661941528,-0.147750854
1594763751,portrait,-0.834335327,0.706359863,-0.133514404
1594763751,portrait,-0.83921814,0.738082886,-0.131118774
1594763751,portrait,-0.755584717,0.6222229,-0.104568481
1594763751,portrait,-0.706161499,0.554931641,-0.098953247
1594763751,portrait,-0.66368103,0.616287231,-0.064285278
1594763751,portrait,-0.604507446,0.659576416,-0.042266846
1594763751,portrait,-0.616348267,0.6743927,-0.056777954
1594763751,portrait,-0.714431763,0.730133057,-0.045593262
1594763751,portrait,-0.805557251,0.809066772,-0.070449829
1594763751,portrait,-0.821228027,0.813613892,-0.085632324
1594763751,portrait,-0.779953003,0.732818604,-0.096725464
1594763751,portrait,-0.79524231,0.797592163,-0.072952271
1594763751,portrait,-0.846282959,0.951583862,-0.144378662
1594763751,portrait,-0.820739746,0.842437744,-0.154708862
1594763751,portrait,-0.826934814,0.854324341,-0.14982605
1594763751,portrait,-0.733901978,0.879394531,-0.217514038
1594763752,portrait,-0.582122803,0.844009399,-0.118988037
1594763752,portrait,-0.495010376,0.766876221,-0.026596069
1594763752,portrait,-0.486053467,0.724060059,-0.073638916
1594763752,portrait,-0.517623901,0.709014893,-0.090255737
1594763752,portrait,-0.513519287,0.672073364,-0.012969971
1594763752,portrait,-0.545166016,0.648727417,-0.003265381
1594763752,portrait,-0.580337524,0.666213989,0.000167847
1594763752,portrait,-0.59324646,0.763900757,0.022521973
1594763752,portrait,-0.557189941,0.793991089,-0.023712158
1594763752,portrait,-0.581375122,0.707901001,-0.057220459
1594763752,portrait,-0.741149902,0.936981201,0.015975952
1594763752,portrait,-0.650756836,0.917572021,-0.049636841
1594763752,portrait,-0.714172363,0.634277344,-0.109573364
1594763752,portrait,-0.784210205,0.703109741,-0.111099243
1594763752,portrait,-0.78465271,0.775741577,-0.079696655
1594763752,portrait,-0.764038086,0.714553833,-0.061325073
1594763752,portrait,-0.747741699,0.640731812,-0.098327637
1594763752,portrait,-0.742019653,0.667526245,-0.149856567
1594763752,portrait,-0.657440186,0.696914673,-0.114028931
1594763752,portrait,-0.606994629,0.641906738,-0.109161377
1594763752,portrait,-0.67237854,0.618759155,-0.095870972
1594763752,portrait,-0.737991333,0.664993286,-0.07824707
1594763752,portrait,-0.781387329,0.732284546,-0.048950195
1594763752,portrait,-0.816726685,0.766784668,-0.060684204
1594763752,portrait,-0.83883667,0.767166138,-0.113876343
1594763753,portrait,-0.868026733,0.925430298,-0.160293579
1594763753,portrait,-0.768218994,0.984405518,-0.225906372
1594763753,portrait,-0.638473511,0.882217407,-0.208938599
1594763753,portrait,-0.652053833,0.786026001,-0.184066772
1594763753,portrait,-0.631958008,0.841125488,-0.146820068
1594763753,portrait,-0.543869019,0.846832275,-0.158584595
1594763753,portrait,-0.507797241,0.738647461,-0.195083618
1594763753,portrait,-0.529022217,0.644851685,-0.193222046
1594763753,portrait,-0.556762695,0.648254395,-0.19468689
1594763753,portrait,-0.556838989,0.679977417,-0.121734619
1594763753,portrait,-0.554885864,0.706878662,-0.055221558
1594763753,portrait,-0.576156616,0.795516968,-0.061248779
1594763753,portrait,-0.597167969,0.89503479,-0.075164795
1594763753,portrait,-0.59072876,0.892181396,-0.017364502
1594763753,portrait,-0.553268433,0.837905884,-0.039794922
1594763753,portrait,-0.666625977,0.897476196,-0.025695801
1594763753,portrait,-0.622024536,0.942169189,-0.051834106
1594763753,portrait,-0.59954834,0.631607056,-0.087158203
1594763753,portrait,-0.696304321,0.589279175,0.013061523
1594763753,portrait,-0.674880981,0.743637085,0.031692505
1594763753,portrait,-0.665557861,0.774795532,-0.104598999
1594763753,portrait,-0.652633667,0.671218872,-0.191116333
1594763753,portrait,-0.663238525,0.636657715,-0.221878052
1594763753,portrait,-0.622695923,0.669494629,-0.208587646
1594763753,portrait,-0.56338501,0.659484863,-0.15473938
1594763754,portrait,-0.572219849,0.660293579,-0.106491089
1594763754,portrait,-0.658676147,0.729888916,-0.045974731
1594763754,portrait,-0.733688354,0.791687012,-0.026596069
1594763754,portrait,-0.809341431,0.832107544,-0.166381836
1594763754,portrait,-0.839401245,0.868148804,-0.233123779
1594763754,portrait,-0.824050903,0.870773315,-0.21673584
1594763754,portrait,-0.862701416,0.988525391,-0.265884399
1594763754,portrait,-0.821838379,0.993484497,-0.328765869
1594763754,portrait,-0.755340576,0.757415771,-0.29083252
1594763754,portrait,-0.756729126,0.785095215,-0.119232178
1594763754,portrait,-0.629241943,0.875076294,-0.118804932
1594763754,portrait,-0.523025513,0.874755859,-0.145980835
1594763754,portrait,-0.493438721,0.781143188,-0.115509033
1594763754,portrait,-0.488723755,0.773620605,-0.086151123
1594763754,portrait,-0.451858521,0.742797852,-0.071838379
1594763754,portrait,-0.422485352,0.735061646,-0.008377075
1594763754,portrait,-0.40953064,0.744674683,-0.009048462
1594763754,portrait,-0.413391113,0.770782471,-0.044631958
1594763754,portrait,-0.45652771,0.859893799,0.013336182
1594763754,portrait,-0.442276001,0.900497437,0.022781372
1594763754,portrait,-0.605560303,0.8853302,-0.013641357
1594763754,portrait,-0.639663696,1.093185425,0.036941528
1594763754,portraitUpsideDown,-0.466094971,0.909576416,-0.146560669
1594763754,portraitUpsideDown,-0.597167969,0.750961304,-0.06993103
1594763754,portraitUpsideDown,-0.675643921,0.790084839,0.105285645
1594763755,portraitUpsideDown,-0.656524658,0.814498901,0.178878784
1594763755,portraitUpsideDown,-0.627502441,0.728652954,0.014572144
1594763755,portraitUpsideDown,-0.618179321,0.675735474,-0.096298218
1594763755,portraitUpsideDown,-0.630493164,0.693710327,-0.075973511
1594763755,portraitUpsideDown,-0.665542603,0.655914307,0.002670288
1594763755,portraitUpsideDown,-0.727233887,0.650344849,0.043548584
1594763755,portraitUpsideDown,-0.785293579,0.724395752,0.021331787
1594763755,portraitUpsideDown,-0.867904663,0.840637207,-0.029098511
1594763755,portraitUpsideDown,-0.899047852,0.86567688,-0.102310181
1594763755,portraitUpsideDown,-0.858520508,0.845413208,-0.190414429
1594763755,portraitUpsideDown,-0.880706787,1.043670654,-0.182510376
1594763755,portraitUpsideDown,-0.780487061,1.06427002,-0.1040802
1594763755,portraitUpsideDown,-0.705566406,0.808166504,-0.023330688
1594763755,portraitUpsideDown,-0.778930664,0.879104614,-0.099136353
1594763755,portraitUpsideDown,-0.681396484,0.960281372,-0.090438843
1594763755,portraitUpsideDown,-0.542831421,0.921478271,-0.074890137
1594763755,portraitUpsideDown,-0.482803345,0.832824707,-0.041183472
1594763755,portraitUpsideDown,-0.446365356,0.811141968,-0.03024292
1594763755,portraitUpsideDown,-0.381561279,0.791870117,0.000839233
1594763755,portraitUpsideDown,-0.332107544,0.723052979,0.026596069
1594763755,portraitUpsideDown,-0.37512207,0.694564819,-0.057998657
1594763755,portraitUpsideDown,-0.441833496,0.744277954,-0.09437561
1594763755,portraitUpsideDown,-0.466964722,0.820892334,-0.062667847
1594763755,portraitUpsideDown,-0.474685669,0.807495117,-0.075042725
1594763755,portraitUpsideDown,-0.679916382,0.944488525,-0.035202026
1594763756,portraitUpsideDown,-0.633773804,1.046966553,-0.110610962
1594763756,portraitUpsideDown,-0.609359741,0.840637207,-0.274581909
1594763756,portraitUpsideDown,-0.689605713,0.685882568,-0.233352661
1594763756,portraitUpsideDown,-0.788894653,0.746627808,-0.127090454
1594763756,portraitUpsideDown,-0.765274048,0.785079956,-0.066101074
1594763756,portraitUpsideDown,-0.676986694,0.679580688,-0.052078247
1594763756,portraitUpsideDown,-0.635818481,0.650146484,-0.123443604
1594763756,portraitUpsideDown,-0.606430054,0.665420532,-0.152435303
1594763756,portraitUpsideDown,-0.63142395,0.699493408,-0.126159668
1594763756,portraitUpsideDown,-0.709213257,0.705505371,-0.109893799
1594763756,portraitUpsideDown,-0.77180481,0.710388184,-0.045043945
1594763756,portraitUpsideDown,-0.791793823,0.721878052,-0.042358398
1594763756,portraitUpsideDown,-0.837020874,0.790283203,-0.093185425
1594763756,portraitUpsideDown,-0.851791382,0.826324463,-0.149429321
1594763756,portraitUpsideDown,-0.788024902,0.805374146,-0.174911499
1594763756,portraitUpsideDown,-0.795349121,0.916244507,-0.192153931
1594763756,portraitUpsideDown,-0.766937256,0.94909668,-0.214447021
1594763756,portraitUpsideDown,-0.71836853,0.795211792,-0.160766602
1594763756,portraitUpsideDown,-0.69921875,0.754013062,-0.200546265
1594763756,portraitUpsideDown,-0.650283813,0.830551147,-0.283676147
1594763756,portraitUpsideDown,-0.554168701,0.859115601,-0.237854004
1594763756,portraitUpsideDown,-0.484222412,0.71711731,-0.179214478
1594763756,portraitUpsideDown,-0.485855103,0.64680481,-0.206100464
1594763756,portraitUpsideDown,-0.471725464,0.673294067,-0.214492798
